rows,timestamp
539,2024-06-30
980,2024-07-01
1512,2024-07-02
1998,2024-07-03
2505,2024-07-04
3058,2024-07-05
3602,2024-07-06
4125,2024-07-07
4584,2024-07-08
5110,2024-07-09
5655,2024-07-10
6147,2024-07-11
6677,2024-07-12
7207,2024-07-13
7732,2024-07-14
8191,2024-07-15
8709,2024-07-16
9241,2024-07-17
9727,2024-07-18
10265,2024-07-19
10797,2024-07-20
11274,2024-07-21
11736,2024-07-22
12258,2024-07-23
12801,2024-07-24
13303,2024-07-25
13838,2024-07-26
14377,2024-07-27
14908,2024-07-30
15447,2024-07-31
15946,2024-08-01
16475,2024-08-02
17022,2024-08-03
17028,2024-08-04
17030,2024-08-05
17546,2024-08-06
18071,2024-08-07
18562,2024-08-08
19093,2024-08-09
19619,2024-08-10
20161,2024-08-11
20645,2024-08-12
21171,2024-08-13
21707,2024-08-14
22180,2024-08-15
22663,2024-08-16
23183,2024-08-17
23724,2024-08-18
24196,2024-08-19
24709,2024-08-20
25235,2024-08-21
25727,2024-08-22
26260,2024-08-23
26781,2024-08-24
27327,2024-08-25
27803,2024-08-26
28337,2024-08-28
28835,2024-08-29
29368,2024-08-30
29908,2024-08-31
30460,2024-09-01
30932,2024-09-02
31471,2024-09-03
32019,2024-09-04
32517,2024-09-05
33004,2024-09-06
33556,2024-09-07
34102,2024-09-08
34574,2024-09-09
35084,2024-09-10
35666,2024-09-11
36174,2024-09-12
36714,2024-09-13
37249,2024-09-14
37829,2024-09-15
38309,2024-09-16
38838,2024-09-17
39375,2024-09-18
39879,2024-09-19
40412,2024-09-20
